property_url,Rent,Sub-Type,Furnishing,Listed By,Car Parking,Meals Included,error
https://www.olx.in/item/pg-guest-houses-c1449-with-food-boys-pg-in-mohali-in-mohali-punjab-iid-1785977997,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-om-sai-pg-for-both-girls-and-boys-in-mohali-punjab-iid-1806752975,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-full-frnichd-1bhk-kharar-landra-rad-sbp-shar-flat-indpandid-in-mohali-punjab-iid-1809150998,"₹ 7,500",Roommate,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-near-sector-72-73-74-or-75-mohali-in-mohali-punjab-iid-1785978926,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-near-72-73-74-or-75-sector-mohali-in-mohali-punjab-iid-1789327776,"₹ 8,000",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-room-partner-in-mohali-punjab-iid-1809050657,"₹ 3,500",Roommate,Furnished,Builder,1,,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-and-girls-near-industrial-area-mohali-in-mohali-punjab-iid-1785978755,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-in-industrial-area-phase-8b-mohali-iid-1803125740,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-paying-guest-for-professionals-in-industrial-area-phase-8-mohali-iid-1797196027,"₹ 10,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-59-phase-5-mohali-iid-1808954541,"₹ 7,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-roommate-chahiye-boy-in-balongi-mohali-iid-1809742539,N/A,,,,,,Main content missing
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-59-phase-5-mohali-iid-1778872915,"₹ 6,500",PG,Furnished,Owner,2,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-walk-in-premium-guesthouse-in-sector-71-mohali-iid-1797154066,"₹ 9,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-clean-pg-for-boys-in-ph-5-sec-59-near-by-8b-sec-74-75-in-sector-74-mohali-iid-1751063642,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-affordable-pg-for-girls-in-large-space-rooms-capacity-5-in-sector-117-mohali-iid-1808804847,"₹ 5,500",PG,Furnished,Owner,3+,No,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-janta-market-sector-60-in-sector-60-phase-3b2-mohali-iid-1809731117,"₹ 6,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-luxury-pg-with-ac-beds-food-lift-power-backup-rent-9500-in-sector-92-mohali-iid-1809039683,"₹ 9,500",PG,Furnished,Owner,1,,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-near-hanuman-madir-3b2-sector-60-in-sector-60-phase-3b2-mohali-iid-1809731413,"₹ 6,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-59-mohali-iid-1804327773,"₹ 5,000",PG,Furnished,Owner,0,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-looking-for-roommate-in-sector-59-mohali-iid-1808308914,"₹ 6,000",Roommate,Furnished,Owner,,No,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-34-sharing-room-attached-washroom-in-sector-61-mohali-iid-1763348129,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-one-roommate-required-in-balongi-mohali-iid-1809712597,"₹ 2,800",Roommate,Semi-Furnished,Owner,0,No,
https://www.olx.in/item/pg-guest-houses-c1449-im-raaz-need-roommate-only-for-girls-in-balongi-mohali-iid-1809703899,"₹ 2,500",Roommate,Furnished,Owner,2,No,
https://www.olx.in/item/pg-guest-houses-c1449-cleanest-pg-for-boys-in-sec-59-and-70-near-by-sec-7475sohanaph88b-in-sector-74-mohali-iid-1753726067,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-61-mohali-iid-1809672145,"₹ 7,000",PG,Furnished,Owner,2,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-walk-in-premium-accommodation-guest-house-and-hotel-in-industrial-area-phase-8b-mohali-iid-1797211407,"₹ 9,000",Guest Houses,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-in-sector-71-mohali-iid-1800655126,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-girls-near-3b2near-sector71-near-industrial-area-73and74-in-sector-60-phase-3b2-mohali-iid-1757983928,"₹ 7,000",PG,Furnished,Owner,2,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-new-luxury-pg-for-boys-in-phase-7-near-motor-market-in-sector-61-mohali-iid-1809508083,"₹ 6,500",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-attach-washroom-ro-wifi-phase-7-in-mohali-in-sector-60-mohali-iid-1759310764,"₹ 6,500",,,,,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-single-occupancy-room-for-girls-only-in-sector-70-mohali-in-sector-70-mohali-iid-1763121974,"₹ 8,500",PG,Furnished,Owner,0,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-all-facilities-near-moter-market-phase-7-mohali-in-sector-61-mohali-iid-1763156329,"₹ 6,500",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-girls-with-food-all-facilites-sec-70-near-amar-hospital-mohali-in-sector-70-mohali-iid-1598342906,"₹ 7,000",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-attach-washroom-wifi-ro-sec-61-phase-7-mohali-in-sector-61-mohali-iid-1764312220,"₹ 7,000",PG,Furnished,Owner,1,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-fully-furnished-pg-sector-6982-for-girls-with-food-in-sector-91-in-sector-91-mohali-iid-1508546453,"₹ 7,000",PG,Furnished,Owner,3+,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-pg-for-boys-with-food-attached-washroom-phase-7-in-mohali-in-sector-70-mohali-iid-1781538269,"₹ 6,500",PG,Furnished,Owner,2,Yes,
https://www.olx.in/item/pg-guest-houses-c1449-girls-pg-fully-furnished-near-cgc-landran-with-ac-wifi-lpg-gas-in-sector-94-mohali-iid-1809650112,"₹ 5,000",PG,Furnished,Owner,3+,No,
