property_url,Rent,Sub-Type,Furnishing,Listed By,Meals Included,Car Parking,error
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-with-food-only-6000-in-sector-60-phase-3b2-mohali-iid-1807354798,"₹ 6,000",PG,Furnished,Owner,Yes,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-near-industrial-area-phase-8b-excellence-technology-a2it-in-sector-60-phase-3b2-mohali-iid-1807348137,"₹ 6,000",PG,Furnished,Owner,Yes,3,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-girls-pg-with-food-only-6500-phase-3-in-sector-53-mohali-iid-1807355584,"₹ 6,500",PG,Furnished,Owner,Yes,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-near-janta-market-phase-3b23b2-sector-60-in-sector-60-phase-3b2-mohali-iid-1807347329,"₹ 5,500",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-70-mohali-iid-1807380083,"₹ 6,500",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-semi-furnished-independent-owner-free-1-rk-rooms-pg-for-rent-in-sector-80-mohali-iid-1727399063,"₹ 7,500",PG,Semi-Furnished,Owner,No,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-rooms-available-in-balongi-fully-furnished-in-balongi-mohali-iid-1807299481,"₹ 6,000",PG,Furnished,Owner,No,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-best-budget-pg-in-mohali-with-food-only-5500-in-sector-59-phase-5-mohali-iid-1807355255,"₹ 5,500",PG,Furnished,Owner,Yes,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-in-phase-7-in-sector-61-mohali-iid-1807294976,"₹ 7,000",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-60-phase-3b2-mohali-iid-1807289557,"₹ 6,500",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-2-room-set-home-in-ballo-majra-mohali-iid-1807319885,"₹ 12,000",PG,Furnished,Owner,No,,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-sector-59-phase-5-mohali-iid-1807256711,"₹ 3,499",PG,Furnished,Owner,No,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-in-sector-71-in-sector-71-mohali-iid-1807295198,"₹ 6,000",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-mohali-phase-3b2-in-sector-59-mohali-iid-1807285400,"₹ 9,500",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-girls-in-phase-4-in-sector-59-mohali-iid-1807292176,"₹ 8,500",PG,Furnished,Owner,Yes,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-urgent-required-for-girl-room-mate-in-sohana-in-best-place-in-sohana-village-mohali-iid-1807245381,"₹ 3,200",Roommate,Semi-Furnished,,No,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-fully-furnished-pg-for-girls-in-sector-60-phase-3b2-mohali-iid-1807238338,"₹ 6,500",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-newly-build-in-balongi-mohali-iid-1807262005,"₹ 6,000",PG,Furnished,Owner,No,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-room-for-rent-for-boys-in-phase-5-mohali-sharing-in-sector-59-phase-5-mohali-iid-1807247586,"₹ 3,000",PG,Semi-Furnished,Owner,No,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-need-a-female-roommate-in-mauli-mohali-iid-1807219545,"₹ 4,000",PG,Furnished,Owner,No,0,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-with-food-in-sector-70-mohali-iid-1807238510,"₹ 5,500",PG,Furnished,Owner,Yes,3+,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-fully-furnished-room-in-sector-118-mohali-iid-1800231121,"₹ 6,500",PG,Furnished,Owner,No,1,
https://www.olx.in/en-in/item/pg-guest-houses-c1449-pg-for-boys-in-posh-area-in-sector-60-phase-3b2-mohali-iid-1807200688,"₹ 6,000",PG,Furnished,Owner,Yes,,
